county,fips,latitude,state,longitude,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
Autauga,1001,32.53492796,Alabama,-86.64274781,791,-0.142512896,-0.146651844,-0.097526155,0.463695465,0.12595086,0.620169992,0.78982386,-0.872991038,-0.567852833,-1.296661065,-0.733791711,-0.42490752,-0.102331687,-0.11465885,-0.120674836,-0.122529622
Baldwin,1003,30.72748899,Alabama,-87.72257524,2967,0.301777451,0.128922198,-0.079230435,0.087613856,0.100831108,1.63729524,0.139811867,-0.816918229,-1.405050226,-0.539953558,-0.580380056,-0.776748191,-0.02196543,0.023894521,0.033538963,0.016053561
Barbour,1005,31.86958881,Alabama,-85.39321291,472,-0.229964845,-0.066243982,-0.132311642,1.399743891,0.684779312,-0.754781439,1.516206214,-0.194233143,1.336374377,1.532255523,1.493274556,1.678517911,-0.097971051,-0.143818256,-0.145565661,-0.15099032
Bibb,1007,32.99863415,Alabama,-87.12648014,471,-0.242396032,-0.138862094,-0.128874256,0.502134746,-0.494128493,-0.319858406,1.474392577,-1.644511359,0.242082154,1.43848884,0.575921338,0.255225431,-0.109906303,-0.139743993,-0.149047013,-0.152447983
Blount,1009,33.9808782,Alabama,-86.56738341,1085,-0.134347434,-0.132709152,-0.099259127,-0.263880466,0.857864725,-1.262998337,1.203467855,0.019674241,-1.047878214,-1.2053164,-1.098793708,-0.004845773,-0.073271944,-0.111115188,-0.108384991,-0.139640851
Bullock,1011,32.10053438,Alabama,-85.71568627,203,-0.279363587,-0.138800353,-0.139618127,1.666394756,0.268410823,-1.07181198,1.595341114,-1.671855507,1.695616951,0.936439187,0.742492459,1.510908772,-0.123197452,-0.16057011,-0.158553458,-0.155428579
Butler,1013,31.75241781,Alabama,-86.68030288,423,-0.249445086,-0.096157893,-0.134520399,1.275075954,0.165523072,-0.660052575,1.331327737,-0.301186835,0.60788151,-0.517809397,0.165900119,1.442687697,-0.120954361,-0.144538358,-0.151439391,-0.150446416
Calhoun,1015,33.77143651,Alabama,-85.82603459,2373,0.044582299,-0.143483844,-0.042643068,0.580398506,-0.046102235,0.36467864,0.458770437,-0.44759917,0.242082154,0.389755208,0.470299318,1.094310025,-0.035172882,-0.051228258,-0.05492858,-0.105519923
Chambers,1017,32.91435287,Alabama,-85.39203349,654,-0.207193816,-0.146074597,-0.117319192,1.178112003,-0.685795641,0.293113403,0.60529095,1.319732709,0.965053522,-0.604656029,1.245322535,1.180192393,-0.101653738,-0.132718258,-0.133628997,-0.147063331
Cherokee,1019,34.17592601,Alabama,-85.60380039,568,-0.232169982,-0.157927291,-0.123025379,-0.69086815,-1.451776019,-0.46955767,1.418065116,-0.550053192,-1.270808764,-0.769007225,-0.85949923,-0.280500473,-0.109136286,-0.138123763,-0.142559421,-0.149804609
Chilton,1021,32.84786998,Alabama,-86.71880376,829,-0.177056954,-0.119406962,-0.113861724,0.220939288,1.05606989,-1.124362299,1.571151407,0.895725354,-0.1402817,-1.303235113,-0.141615795,0.844974116,-0.092430283,-0.11088305,-0.134108313,-0.144670152
Choctaw,1023,32.0197775,Alabama,-88.2631849,269,-0.270952084,-0.058319134,-0.1409519,1.196812194,-1.716737784,-0.762387406,1.562166658,-0.740769969,1.43196534,-0.700498726,0.347708515,1.141753107,-0.123708006,-0.157467038,-0.152763819,-0.15449669
Clarke,1025,31.67668212,Alabama,-87.83081391,438,-0.235399261,0.031649959,-0.13788241,1.265033259,-1.001341017,-0.294620424,1.427049865,-0.448637555,1.553783427,-0.652058374,0.788896887,1.119589915,-0.11096926,-0.140933109,-0.146490658,-0.151099101
Clay,1027,33.2690306,Alabama,-85.86058307,275,-0.270349285,-0.14401757,-0.136624293,0.238600579,-0.343065876,-1.547184929,1.273963574,-1.193852114,-1.002670935,-0.006763677,-1.14381293,0.319290908,-0.119790967,-0.157173312,-0.153966315,-0.154910057
Cleburne,1029,33.67451959,Alabama,-85.51881383,305,-0.265711425,-0.156159676,-0.134154071,-0.80861009,0.098422365,-1.398522843,1.441218122,-0.229538245,0.086099788,-1.048577259,-0.654488621,0.447075561,-0.119849555,-0.155264093,-0.153928474,-0.152672797
Coffee,1031,31.40265228,Alabama,-85.98815917,797,-0.154993291,-0.123246373,-0.107265327,0.650004771,0.668262215,-1.150983184,0.217910065,-0.660468168,-0.022949831,-0.919864323,-1.169092955,0.092118191,-0.096673741,-0.128568195,-0.111967252,-0.129364686
Colbert,1033,34.70047669,Alabama,-87.80493371,1044,-0.144579635,-0.147157513,-0.097998205,0.304743846,-1.090120413,-0.168084789,-0.212321158,-1.460371022,0.190318095,-1.390081745,-1.32458242,-0.230979591,-0.089844032,-0.104288429,-0.117437347,-0.132896438
Conecuh,1035,31.42923975,Alabama,-86.99367837,262,-0.272766631,-0.07585631,-0.140735083,1.318017132,-1.716737784,-1.280630352,1.526918799,0.212467789,0.567160449,-1.610485349,-0.381949178,1.256378365,-0.126662525,-0.152724785,-0.15763687,-0.154442299
Coosa,1037,32.93624951,Alabama,-86.24765729,217,-0.278404029,-0.131014895,-0.139758665,0.881333054,0.445969616,-1.595586538,1.547998401,-0.359336415,0.511255265,0.658599165,0.331432335,0.94193808,-0.124419434,-0.15835769,-0.155887785,-0.154692495
