fips,number_of_deaths,total_population,area_per_square_mile,population_density_per_square_mile,minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19"
1001,791.0,55049.0,594.4461199,92.60553338,0.6339,0.5355,0.6791,0.7268,0.2477,0.3298,0.1251,0.2881,0.3773,4291.0,12551.0,10596.0,9929.0
1003,2967.0,199510.0,1589.807425,125.4931867,0.5253,0.5282,0.9733,0.5387,0.2639,0.0872,0.3438,0.3324,0.2757,13893.0,41797.0,47274.0,48148.0
1005,472.0,26614.0,884.875776,30.07653811,0.9042,0.6979,0.2814,0.937,0.4438,0.8816,0.9427,0.9312,0.9847,4812.0,6396.0,4676.0,2080.0
1007,471.0,22572.0,622.5823549,36.25544448,0.645,0.3553,0.4072,0.9249,0.0248,0.5645,0.9156,0.6663,0.5737,3386.0,7256.0,3848.0,1678.0
1009,1085.0,57704.0,644.806508,89.4904119,0.4238,0.7482,0.1344,0.8465,0.5056,0.1907,0.1515,0.1827,0.4986,7763.0,13299.0,13519.0,5210.0
1011,203.0,10552.0,622.8053585,16.94269302,0.9812,0.5769,0.1897,0.9599,0.0169,0.9857,0.7705,0.7144,0.9363,1798.0,2860.0,1587.0,856.0
1013,423.0,20280.0,776.8280471,26.10616349,0.8682,0.547,0.3088,0.8835,0.4129,0.6705,0.3502,0.5479,0.9166,2066.0,6244.0,3279.0,2230.0
1015,2373.0,115883.0,605.8887948,191.2611704,0.6676,0.4855,0.6052,0.631,0.3706,0.5645,0.6125,0.6358,0.816,12315.0,25940.0,26233.0,14620.0
1017,654.0,34018.0,596.5311116,57.02636348,0.8402,0.2996,0.5845,0.6734,0.8812,0.774,0.3251,0.8596,0.8408,4372.0,8739.0,7515.0,3163.0
1019,568.0,25897.0,553.719701,46.76915044,0.3005,0.077,0.3639,0.9086,0.341,0.1261,0.2776,0.2518,0.419,3478.0,7598.0,5391.0,2407.0
1021,829.0,43817.0,692.8534351,63.24136936,0.5638,0.8058,0.1745,0.9529,0.7587,0.4537,0.1232,0.4591,0.744,5474.0,13348.0,7401.0,3823.0
