County,FIPS,Year,Measure Type,Variable,Value
Connecticut,9,2006-2010,Number,Median Home Value,296500
Connecticut,9,2006-2010,Number,Margins of Error,1092
Connecticut,9,2006-2010,Ratio to State Median,Median Home Value,1
Connecticut,9,2006-2010,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2007-2011,Number,Median Home Value,293100
Connecticut,9,2007-2011,Number,Margins of Error,897
Connecticut,9,2007-2011,Ratio to State Median,Median Home Value,1
Connecticut,9,2007-2011,Ratio to State Median,Margins of Error,0
Connecticut,9,2008-2012,Number,Median Home Value,285900
Connecticut,9,2008-2012,Number,Margins of Error,975
Connecticut,9,2008-2012,Ratio to State Median,Median Home Value,1
Connecticut,9,2008-2012,Ratio to State Median,Margins of Error,0
Connecticut,9,2009-2013,Number,Median Home Value,278900
Connecticut,9,2009-2013,Number,Margins of Error,868
Connecticut,9,2009-2013,Ratio to State Median,Median Home Value,1
Connecticut,9,2009-2013,Ratio to State Median,Margins of Error,0
Connecticut,9,2010-2014,Number,Median Home Value,274500
Connecticut,9,2010-2014,Number,Margins of Error,980
Connecticut,9,2010-2014,Ratio to State Median,Median Home Value,1
Connecticut,9,2010-2014,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2011-2015,Number,Median Home Value,270500
Connecticut,9,2011-2015,Number,Margins of Error,1061
Connecticut,9,2011-2015,Ratio to State Median,Median Home Value,1
Connecticut,9,2011-2015,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2012-2016,Number,Median Home Value,269300
Connecticut,9,2012-2016,Number,Margins of Error,1149
Connecticut,9,2012-2016,Ratio to State Median,Median Home Value,1
Connecticut,9,2012-2016,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2013-2017,Number,Median Home Value,270100
Connecticut,9,2013-2017,Number,Margins of Error,1083
Connecticut,9,2013-2017,Ratio to State Median,Median Home Value,1
Connecticut,9,2013-2017,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2014-2018,Number,Median Home Value,272700
Connecticut,9,2014-2018,Number,Margins of Error,985
Connecticut,9,2014-2018,Ratio to State Median,Median Home Value,1
Connecticut,9,2014-2018,Ratio to State Median,Margins of Error,0.01
Connecticut,9,2015-2019,Number,Median Home Value,275400
Connecticut,9,2015-2019,Number,Margins of Error,972
Connecticut,9,2015-2019,Ratio to State Median,Median Home Value,1
Connecticut,9,2015-2019,Ratio to State Median,Margins of Error,0
Fairfield County,9001,2006-2010,Number,Median Home Value,477700
Fairfield County,9001,2006-2010,Number,Margins of Error,4192
Fairfield County,9001,2006-2010,Ratio to State Median,Median Home Value,1.61
Fairfield County,9001,2006-2010,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2007-2011,Number,Median Home Value,466700
Fairfield County,9001,2007-2011,Number,Margins of Error,3589
Fairfield County,9001,2007-2011,Ratio to State Median,Median Home Value,1.59
Fairfield County,9001,2007-2011,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2008-2012,Number,Median Home Value,447500
Fairfield County,9001,2008-2012,Number,Margins of Error,4096
Fairfield County,9001,2008-2012,Ratio to State Median,Median Home Value,1.57
Fairfield County,9001,2008-2012,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2009-2013,Number,Median Home Value,432100
Fairfield County,9001,2009-2013,Number,Margins of Error,3744
Fairfield County,9001,2009-2013,Ratio to State Median,Median Home Value,1.55
Fairfield County,9001,2009-2013,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2010-2014,Number,Median Home Value,422400
Fairfield County,9001,2010-2014,Number,Margins of Error,3717
Fairfield County,9001,2010-2014,Ratio to State Median,Median Home Value,1.54
Fairfield County,9001,2010-2014,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2011-2015,Number,Median Home Value,416000
Fairfield County,9001,2011-2015,Number,Margins of Error,3816
Fairfield County,9001,2011-2015,Ratio to State Median,Median Home Value,1.54
Fairfield County,9001,2011-2015,Ratio to State Median,Margins of Error,0.01
Fairfield County,9001,2012-2016,Number,Median Home Value,413400
Fairfield County,9001,2012-2016,Number,Margins of Error,4573
Fairfield County,9001,2012-2016,Ratio to State Median,Median Home Value,1.54
Fairfield County,9001,2012-2016,Ratio to State Median,Margins of Error,0.02
Fairfield County,9001,2013-2017,Number,Median Home Value,417800
Fairfield County,9001,2013-2017,Number,Margins of Error,4822
Fairfield County,9001,2013-2017,Ratio to State Median,Median Home Value,1.55
Fairfield County,9001,2013-2017,Ratio to State Median,Margins of Error,0.02
Fairfield County,9001,2014-2018,Number,Median Home Value,422300
Fairfield County,9001,2014-2018,Number,Margins of Error,4188
Fairfield County,9001,2014-2018,Ratio to State Median,Median Home Value,1.55
Fairfield County,9001,2014-2018,Ratio to State Median,Margins of Error,0.02
Fairfield County,9001,2015-2019,Number,Median Home Value,428500
Fairfield County,9001,2015-2019,Number,Margins of Error,3954
Fairfield County,9001,2015-2019,Ratio to State Median,Median Home Value,1.56
Fairfield County,9001,2015-2019,Ratio to State Median,Margins of Error,0.02
