minority_percentage,limited_english,multi_unit_housing,mobile_homes,overcrowding_rank,no_vehicle_household,institutionalized_ranker,housing_and_transportation,social_vulnerability,number_of_deaths
0.6339,0.5355,0.6791,0.7268,0.2477,0.3298,0.1251,0.2881,0.3773,791.0
0.5253,0.5282,0.9733,0.5387,0.2639,0.0872,0.3438,0.3324,0.2757,2967.0
0.9042,0.6979,0.2814,0.937,0.4438,0.8816,0.9427,0.9312,0.9847,472.0
0.645,0.3553,0.4072,0.9249,0.0248,0.5645,0.9156,0.6663,0.5737,471.0
0.4238,0.7482,0.1344,0.8465,0.5056,0.1907,0.1515,0.1827,0.4986,1085.0
0.9812,0.5769,0.1897,0.9599,0.0169,0.9857,0.7705,0.7144,0.9363,203.0
0.8682,0.547,0.3088,0.8835,0.4129,0.6705,0.3502,0.5479,0.9166,423.0
0.6676,0.4855,0.6052,0.631,0.3706,0.5645,0.6125,0.6358,0.816,2373.0
0.8402,0.2996,0.5845,0.6734,0.8812,0.774,0.3251,0.8596,0.8408,654.0
0.3005,0.077,0.3639,0.9086,0.341,0.1261,0.2776,0.2518,0.419,568.0
0.5638,0.8058,0.1745,0.9529,0.7587,0.4537,0.1232,0.4591,0.744,829.0
0.8456,0.0,0.2792,0.9503,0.2859,0.9093,0.2974,0.6004,0.8297,269.0
0.8653,0.2079,0.4145,0.9112,0.3703,0.9446,0.3114,0.7278,0.8233,438.0
0.5689,0.3992,0.0522,0.8669,0.155,0.2038,0.4979,0.1697,0.5922,275.0
0.2665,0.5275,0.0952,0.9153,0.4336,0.5193,0.1968,0.311,0.6291,305.0
0.6877,0.6931,0.1668,0.5613,0.3091,0.4877,0.234,0.1624,0.5266,797.0
0.588,0.1821,0.4511,0.4368,0.078,0.5495,0.0981,0.1175,0.4333,1044.0
0.8806,0.0,0.1293,0.9401,0.5613,0.6587,0.0344,0.3897,0.8628,262.0
0.7545,0.6285,0.0382,0.9462,0.3961,0.6425,0.6902,0.5957,0.772,217.0
0.5205,0.4323,0.1576,0.7488,0.3798,0.3986,0.4024,0.2802,0.695,780.0
0.6915,0.6078,0.0481,0.9198,0.0933,0.6297,0.1866,0.2028,0.7014,290.0
0.2786,0.5813,0.4495,0.8138,0.455,0.2038,0.3308,0.3531,0.4909,1501.0
0.6982,0.5415,0.2448,0.717,0.3266,0.5801,0.5915,0.4572,0.7463,859.0
0.9723,0.1086,0.2171,0.7924,0.9058,0.9768,0.3445,0.859,0.9586,918.0
0.5581,0.8812,0.1557,0.8669,0.7615,0.2496,0.2674,0.3782,0.751,1302.0
0.6558,0.5361,0.482,0.6963,0.2139,0.263,0.8392,0.4801,0.5415,1229.0
0.8017,0.1614,0.2283,0.7268,0.6173,0.4358,0.8666,0.689,0.8637,822.0
0.5938,0.6966,0.5403,0.5259,0.405,0.5801,0.2993,0.4043,0.7335,2201.0
0.4798,0.0,0.3136,0.8087,0.3123,0.8991,0.4941,0.6632,0.7217,342.0
0.5976,0.9258,0.5651,0.6905,0.8898,0.3986,0.1334,0.5734,0.9195,531.0
0.5078,0.5756,0.0586,0.9303,0.4419,0.5801,0.1445,0.3091,0.8173,569.0
0.9863,0.0,0.7746,0.9911,0.8103,0.9812,0.0739,0.9599,0.9882,184.0
0.9331,0.3801,0.5826,0.9768,0.7692,0.9653,0.3871,0.9675,0.9793,312.0
0.7147,0.4826,0.1675,0.8812,0.1235,0.6297,0.3814,0.3222,0.596,332.0
0.7259,0.5059,0.6536,0.6351,0.2461,0.5645,0.1379,0.3477,0.6819,1637.0
0.3782,0.3954,0.171,0.7829,0.5457,0.3626,0.2595,0.2935,0.5788,1126.0
0.8812,0.6565,0.9351,0.1296,0.3028,0.7835,0.5877,0.6106,0.6409,11214.0
0.4604,0.2649,0.0914,0.7074,0.1643,0.5193,0.3235,0.1757,0.6804,290.0
0.4884,0.4209,0.709,0.4483,0.242,0.7284,0.5657,0.5868,0.5396,1553.0
0.6205,0.1235,0.1678,0.852,0.3613,0.234,0.0742,0.1436,0.4858,666.0
0.7217,0.6574,0.9258,0.6979,0.5275,0.3814,0.738,0.8685,0.5989,1701.0
0.6084,0.6374,0.5549,0.554,0.5384,0.263,0.7004,0.5409,0.5269,1258.0
0.9793,0.0697,0.0506,0.9736,0.1882,0.9608,0.1165,0.3719,0.8908,249.0
0.9882,0.0783,0.3964,0.7599,0.3836,0.9752,0.9481,0.9242,0.9023,431.0
0.7482,0.6399,0.8777,0.1964,0.256,0.3473,0.5896,0.3582,0.3034,4805.0
0.907,0.0751,0.4578,0.8542,0.2455,0.957,0.2085,0.6011,0.8937,415.0
0.2958,0.2124,0.3187,0.8039,0.2588,0.4358,0.5002,0.3862,0.6256,620.0
0.5371,0.9,0.2913,0.6377,0.8058,0.3986,0.2009,0.3961,0.7876,1777.0
0.8287,0.4998,0.8427,0.3824,0.5161,0.6425,0.6059,0.7485,0.787,7126.0
0.8571,0.093,0.2923,0.8395,0.0767,0.957,0.1939,0.4091,0.7491,419.0
0.9481,0.6864,0.8306,0.1691,0.4836,0.8071,0.6784,0.7383,0.8093,3323.0
