fips,state,county,number_of_deaths
01001,Alabama,Autauga,791.0
01003,Alabama,Baldwin,2967.0
01005,Alabama,Barbour,472.0
01007,Alabama,Bibb,471.0
01009,Alabama,Blount,1085.0
01011,Alabama,Bullock,203.0
01013,Alabama,Butler,423.0
01015,Alabama,Calhoun,2373.0
01017,Alabama,Chambers,654.0
01019,Alabama,Cherokee,568.0
01021,Alabama,Chilton,829.0
01023,Alabama,Choctaw,269.0
01025,Alabama,Clarke,438.0
01027,Alabama,Clay,275.0
01029,Alabama,Cleburne,305.0
01031,Alabama,Coffee,797.0
01033,Alabama,Colbert,1044.0
01035,Alabama,Conecuh,262.0
01037,Alabama,Coosa,217.0
01039,Alabama,Covington,780.0
01041,Alabama,Crenshaw,290.0
01043,Alabama,Cullman,1501.0
01045,Alabama,Dale,859.0
01047,Alabama,Dallas,918.0
01049,Alabama,DeKalb,1302.0
01051,Alabama,Elmore,1229.0
01053,Alabama,Escambia,822.0
01055,Alabama,Etowah,2201.0
01057,Alabama,Fayette,342.0
01059,Alabama,Franklin,531.0
01061,Alabama,Geneva,569.0
01063,Alabama,Greene,184.0
01065,Alabama,Hale,312.0
01067,Alabama,Henry,332.0
01069,Alabama,Houston,1637.0
01071,Alabama,Jackson,1126.0
01073,Alabama,Jefferson,11214.0
01075,Alabama,Lamar,290.0
01077,Alabama,Lauderdale,1553.0
01079,Alabama,Lawrence,666.0
01081,Alabama,Lee,1701.0
01083,Alabama,Limestone,1258.0
01085,Alabama,Lowndes,249.0
01087,Alabama,Macon,431.0
01089,Alabama,Madison,4805.0
01091,Alabama,Marengo,415.0
01093,Alabama,Marion,620.0
01095,Alabama,Marshall,1777.0
01097,Alabama,Mobile,7126.0
01099,Alabama,Monroe,419.0
01101,Alabama,Montgomery,3323.0
01103,Alabama,Morgan,1988.0
01105,Alabama,Perry,204.0
01107,Alabama,Pickens,327.0
01109,Alabama,Pike,521.0
01111,Alabama,Randolph,460.0
01113,Alabama,Russell,1098.0
01115,Alabama,St. Clair,1519.0
01117,Alabama,Shelby,2188.0
01119,Alabama,Sumter,238.0
01121,Alabama,Talladega,1705.0
01123,Alabama,Tallapoosa,807.0
01125,Alabama,Tuscaloosa,2750.0
01127,Alabama,Walker,1675.0
01129,Alabama,Washington,313.0
01131,Alabama,Wilcox,258.0
01133,Alabama,Winston,515.0
02013,Alaska,Aleutians East,
02016,Alaska,Aleutians West,
02020,Alaska,Anchorage,3203.0
02050,Alaska,Bethel,249.0
02060,Alaska,Bristol Bay,
02068,Alaska,Denali,
02070,Alaska,Dillingham,65.0
02090,Alaska,Fairbanks North Star,942.0
02100,Alaska,Haines,
02105,Alaska,Hoonah-Angoon,
02110,Alaska,Juneau,347.0
02122,Alaska,Kenai Peninsula,848.0
