fips,state,county,latitude,longitude,total_population,area_per_square_mile,population_density_per_square_mile
01001,Alabama,Autauga,32.5349279554825,-86.6427478088138,55049,594.44611990953,92.6055333801792
01003,Alabama,Baldwin,30.7274889936377,-87.7225752373643,199510,1589.80742490394,125.493186705965
01005,Alabama,Barbour,31.8695888091185,-85.3932129145765,26614,884.87577598536,30.0765381110855
01007,Alabama,Bibb,32.9986341529285,-87.1264801385788,22572,622.582354893018,36.2554444767049
01009,Alabama,Blount,33.98087819855,-86.5673834130292,57704,644.80650802125,89.4904119021366
01011,Alabama,Bullock,32.1005343779333,-85.7156862699383,10552,622.805358527872,16.9426930187977
01013,Alabama,Butler,31.7524178062516,-86.6803028820603,20280,776.828047127664,26.1061634875127
01015,Alabama,Calhoun,33.771436514234,-85.8260345892421,115883,605.888794766738,191.261170368094
01017,Alabama,Chambers,32.9143528740884,-85.3920334889517,34018,596.531111636342,57.0263634811693
01019,Alabama,Cherokee,34.1759260075593,-85.6038003875482,25897,553.719701025162,46.7691504420992
01021,Alabama,Chilton,32.8478699835387,-86.7188037582823,43817,692.853435111392,63.2413693567896
01023,Alabama,Choctaw,32.0197775016724,-88.2631848997968,13287,913.499979417814,14.5451563211506
01025,Alabama,Clarke,31.6766821203951,-87.8308139065017,24847,1238.46437984827,20.0627490013432
01027,Alabama,Clay,33.2690305969931,-85.8605830724965,13483,603.96100138041,22.3242891000964
01029,Alabama,Cleburne,33.6745195883524,-85.518813831547,14991,560.104248947982,26.7646603791292
01031,Alabama,Coffee,31.4026522757973,-85.9881591675225,50991,678.985651661674,75.0987887228696
01033,Alabama,Colbert,34.7004766900769,-87.8049337147506,54377,592.619664012428,91.7569957632382
01035,Alabama,Conecuh,31.429239748367,-86.9936783666157,12697,850.156471785916,14.9348977763205
01037,Alabama,Coosa,32.9362495116424,-86.2476572937147,10864,650.926090743856,16.690066897741
01039,Alabama,Covington,31.2484986581257,-86.4512771459695,37729,1030.45583624492,36.6138932625081
01041,Alabama,Crenshaw,31.7315375353875,-86.3135790093729,13896,608.839526791866,22.8237481117917
01043,Alabama,Cullman,34.1319499964658,-86.8675825749094,81316,734.897489233182,110.649445931361
01045,Alabama,Dale,31.4318149499692,-85.6110090405247,49607,561.125964029544,88.4061746916208
01047,Alabama,Dallas,32.325976007532,-87.1064720778568,41426,978.694136870338,42.3278309732924
01049,Alabama,DeKalb,34.4598061323521,-85.8041138637093,70937,777.09371735013,91.2850000150476
01051,Alabama,Elmore,32.5966528384219,-86.1491639423542,80957,618.487733530468,130.895077801914
01053,Alabama,Escambia,31.1261417372159,-87.1615837041193,37875,945.080053506914,40.0759701355002
01055,Alabama,Etowah,34.045265538097,-86.0347632602892,103363,535.28392666665,193.099390530308
01057,Alabama,Fayette,33.7212302642574,-87.7388663868369,16783,627.68342872507,26.7380007690964
01059,Alabama,Franklin,34.4416987415131,-87.8437398551369,31573,633.816619612666,49.8140929458345
01061,Alabama,Geneva,31.0950591970446,-85.8390912462457,26765,574.40810371854,46.5957910877853
01063,Alabama,Greene,32.8531567358996,-87.9522131020639,8587,647.104523804522,13.2698809606746
01065,Alabama,Hale,32.7626697338447,-87.6291511506437,15159,643.942685491568,23.540914962685
01067,Alabama,Henry,31.5147100821191,-85.2414182671998,17187,561.75007590473,30.5954564800358
01069,Alabama,Houston,31.1532056661362,-85.3024767547949,103891,579.86611301941,179.16377189043
01071,Alabama,Jackson,34.7794728354736,-85.9993509729766,52608,1077.86697766591,48.807506946656
01073,Alabama,Jefferson,33.554319742462,-86.8964957084218,659096,1111.28808802193,593.091932779715
01075,Alabama,Lamar,33.7791478450799,-88.0969592328537,14066,604.846018207178,23.2555056602555
01077,Alabama,Lauderdale,34.9014132850946,-87.6540149813345,92641,667.69934695616,138.746578714391
01079,Alabama,Lawrence,34.5216828660879,-87.3109941458565,33433,690.677152269394,48.4061183870748
01081,Alabama,Lee,32.6011520958516,-85.3554754125552,153947,607.551704420374,253.389133599536
01083,Alabama,Limestone,34.8101055627959,-86.9814061176911,90257,559.93919767892,161.190715660087
01085,Alabama,Lowndes,32.1547538945184,-86.650102951271,10565,715.911166627442,14.7574175295662
01087,Alabama,Macon,32.3859650550022,-85.6926570325556,19684,608.907934027614,32.326726094371
01089,Alabama,Madison,34.7630964591462,-86.550230730226,349973,801.608401288262,436.588488141541
01091,Alabama,Marengo,32.2476712356044,-87.7895430742731,20066,976.88142504613,20.5408757762514
01093,Alabama,Marion,34.1365641231201,-87.8871385572087,30239,742.291704310756,40.7373540946116
01095,Alabama,Marshall,34.3669625649157,-86.3066442788053,94534,565.841785285996,167.067902120766
01097,Alabama,Mobile,30.7915214474844,-88.2064769202696,414291,1229.39947670617,336.98647823568
01099,Alabama,Monroe,31.5708847401232,-87.3654355258009,21975,1025.6869896703,21.4246648551755
01101,Alabama,Montgomery,32.2202691815894,-86.2076234130588,227392,784.363117234164,289.906543288055
01103,Alabama,Morgan,34.4534749886009,-86.8529474423102,119555,579.359492755028,206.357195308012
01105,Alabama,Perry,32.6384681745508,-87.2944118630526,9856,719.663221693206,13.6952948308391
01107,Alabama,Pickens,33.2808008318267,-88.0887563547337,20042,881.429883589312,22.7380536706857
01109,Alabama,Pike,31.802733152114,-85.9409376335061,33277,672.103662277318,49.5117075946977
01111,Alabama,Randolph,33.29379107876,-85.459133229405,22615,580.5491834422,38.9544945458554
01113,Alabama,Russell,32.2884021180542,-85.1849287909993,58636,641.153584643986,91.4539065278078
01115,Alabama,St. Clair,33.7156992671048,-86.3147091591381,86576,631.904267603624,137.008095115931
